airport_id,airport_name,location
1,Birmingham International Airport,Birmingham
2,Bournemouth Airport,Bournemouth
3,Bristol Airport,Bristol
4,Cardiff Airport,Cardiff
5,Doncaster Sheffield Airport,Doncaster
6,Durham Tees Valley Airport,Durham
7,East Midlands Airport,Castle Donington
8,Exeter International Airport,Exeter
9,Leeds Bradford International Airport,Leeds
10,Liverpool John Lennon Airport,Liverpool
11,London City Airport,London
12,Gatwick Airport,London
13,Heathrow Airport,London
14,Luton Airport,London
15,Stansted Airport,London
16,Manchester Airport,Manchester
17,Newcastle Airport,Newcastle
18,Newquay Cornwall Airport,Newquay
19,Norwich International Airport,Norwich
20,Southampton Airport,Southampton
21,Aberdeen Airport,Aberdeen
22,Edinburgh Airport,Edinburgh
23,Glasgow International Airport,Glasgow
24,Glasgow Prestwick Airport,Prestwick
25,Inverness Airport,Inverness
26,Belfast International Airport,Belfast
27,George Best Belfast City Airport,Belfast
28,City of Derry Airport,Derry
29,London Southend Airport,London
30,Dundee Airport,Dundee
